ticker,results
SPY,"{'v': 44085, 'vw': 472.5936, 'o': 472.6, 'c': 472.97, 'h': 473.02, 'l': 472.11, 't': 1705482000000, 'n': 406}"
SPY,"{'v': 15805, 'vw': 472.8637, 'o': 473.01, 'c': 472.85, 'h': 473.12, 'l': 472.58, 't': 1705485600000, 'n': 111}"
SPY,"{'v': 27544, 'vw': 472.9112, 'o': 472.65, 'c': 473.11, 'h': 473.2, 'l': 472.5, 't': 1705489200000, 'n': 251}"
SPY,"{'v': 251838, 'vw': 473.3116, 'o': 473.19, 'c': 473.26, 'h': 473.67, 'l': 473.05, 't': 1705492800000, 'n': 1460}"
SPY,"{'v': 613465, 'vw': 472.5871, 'o': 473.4601, 'c': 471.97, 'h': 474.77, 'l': 471.8, 't': 1705496400000, 'n': 4779}"
SPY,"{'v': 8255717.0, 'vw': 471.4689, 'o': 471.99, 'c': 471.325, 'h': 472.35, 'l': 471.05, 't': 1705500000000, 'n': 74349}"
SPY,"{'v': 11302966.0, 'vw': 471.8716, 'o': 471.32, 'c': 472.02, 'h': 472.36, 'l': 471.05, 't': 1705503600000, 'n': 97567}"
SPY,"{'v': 6852885.0, 'vw': 472.5259, 'o': 472.02, 'c': 472.1789, 'h': 472.79, 'l': 472, 't': 1705507200000, 'n': 56500}"
SPY,"{'v': 6013661.0, 'vw': 471.6721, 'o': 472.18, 'c': 471.68, 'h': 472.3, 'l': 471.12, 't': 1705510800000, 'n': 52420}"
SPY,"{'v': 7933516.0, 'vw': 470.9696, 'o': 471.68, 'c': 470.6602, 'h': 472.04, 'l': 469.87, 't': 1705514400000, 'n': 67007}"
SPY,"{'v': 6756120.0, 'vw': 471.3404, 'o': 470.6699, 'c': 471.47, 'h': 471.765, 'l': 470.52, 't': 1705518000000, 'n': 57342}"
SPY,"{'v': 13497889.0, 'vw': 471.8347, 'o': 471.47, 'c': 472.275, 'h': 472.61, 'l': 470.67, 't': 1705521600000, 'n': 100592}"
SPY,"{'v': 6006127.0, 'vw': 472.3901, 'o': 472.28, 'c': 472.13, 'h': 472.39, 'l': 471.2009, 't': 1705525200000, 'n': 4867}"
SPY,"{'v': 220686, 'vw': 472.2522, 'o': 472.09, 'c': 472.03, 'h': 472.19, 'l': 472.01, 't': 1705528800000, 'n': 501}"
SPY,"{'v': 77744, 'vw': 472.1166, 'o': 472.03, 'c': 472.2, 'h': 472.25, 'l': 471.75, 't': 1705532400000, 'n': 567}"
SPY,"{'v': 48540, 'vw': 472.2485, 'o': 472.15, 'c': 472.32, 'h': 472.32, 'l': 471.95, 't': 1705536000000, 'n': 425}"
SPY,"{'v': 20896, 'vw': 472.8859, 'o': 472.64, 'c': 472.85, 'h': 473.14, 'l': 472.62, 't': 1705568400000, 'n': 189}"
SPY,"{'v': 21137, 'vw': 472.9143, 'o': 472.83, 'c': 473.43, 'h': 473.46, 'l': 472.62, 't': 1705572000000, 'n': 158}"
SPY,"{'v': 162583, 'vw': 473.8947, 'o': 473.5, 'c': 474.15, 'h': 474.21, 'l': 473.5, 't': 1705575600000, 'n': 612}"
SPY,"{'v': 214779, 'vw': 474.4068, 'o': 474.13, 'c': 474.34, 'h': 474.67, 'l': 474, 't': 1705579200000, 'n': 1382}"
SPY,"{'v': 691240, 'vw': 474.2894, 'o': 474.34, 'c': 473.72, 'h': 475.16, 'l': 472.04, 't': 1705582800000, 'n': 4774}"
SPY,"{'v': 8246996.0, 'vw': 473.7525, 'o': 473.76, 'c': 473.87, 'h': 474.63, 'l': 473.39, 't': 1705586400000, 'n': 64610}"
SPY,"{'v': 10101258.0, 'vw': 474.1117, 'o': 473.875, 'c': 474.2701, 'h': 474.88, 'l': 473.395, 't': 1705590000000, 'n': 91792}"
SPY,"{'v': 9179537.0, 'vw': 474.0037, 'o': 474.28, 'c': 474.4687, 'h': 475.03, 'l': 473.66, 't': 1705593600000, 'n': 60742}"
SPY,"{'v': 8790684.0, 'vw': 473.3632, 'o': 474.47, 'c': 473.18, 'h': 474.5521, 'l': 473, 't': 1705597200000, 'n': 63769}"
SPY,"{'v': 9235081.0, 'vw': 473.0148, 'o': 473.19, 'c': 473.9801, 'h': 474.1299, 'l': 472.42, 't': 1705600800000, 'n': 59323}"
SPY,"{'v': 11895883.0, 'vw': 474.7173, 'o': 473.98, 'c': 475.74, 'h': 475.9499, 'l': 473.975, 't': 1705604400000, 'n': 79146}"
SPY,"{'v': 20685659.0, 'vw': 476.1283, 'o': 475.75, 'c': 476.46, 'h': 477.06, 'l': 475.59, 't': 1705608000000, 'n': 125080}"
SPY,"{'v': 10722553.0, 'vw': 476.4813, 'o': 476.45, 'c': 476.5, 'h': 476.68, 'l': 474.2002, 't': 1705611600000, 'n': 4461}"
SPY,"{'v': 298316, 'vw': 476.4921, 'o': 476.5, 'c': 476.6, 'h': 476.6, 'l': 476.49, 't': 1705615200000, 'n': 411}"
SPY,"{'v': 128769, 'vw': 476.5693, 'o': 476.52, 'c': 476.88, 'h': 476.88, 'l': 476.31, 't': 1705618800000, 'n': 754}"
SPY,"{'v': 67651, 'vw': 476.7129, 'o': 476.84, 'c': 476.74, 'h': 476.87, 'l': 476.57, 't': 1705622400000, 'n': 630}"
SPY,"{'v': 73695, 'vw': 478.0919, 'o': 477.84, 'c': 478.42, 'h': 478.58, 'l': 477.2, 't': 1705654800000, 'n': 433}"
SPY,"{'v': 25179, 'vw': 478.3834, 'o': 478.36, 'c': 478.62, 'h': 478.65, 'l': 478.16, 't': 1705658400000, 'n': 197}"
SPY,"{'v': 38951, 'vw': 478.8261, 'o': 478.5, 'c': 478.83, 'h': 478.99, 'l': 478.46, 't': 1705662000000, 'n': 396}"
SPY,"{'v': 409813, 'vw': 478.6054, 'o': 478.88, 'c': 478.91, 'h': 478.97, 'l': 477.92, 't': 1705665600000, 'n': 2030}"
SPY,"{'v': 513126, 'vw': 478.3551, 'o': 478.8805, 'c': 478.51, 'h': 479.47, 'l': 476.49, 't': 1705669200000, 'n': 3756}"
SPY,"{'v': 8372365.0, 'vw': 477.3927, 'o': 478.51, 'c': 477.92, 'h': 478.63, 'l': 476.94, 't': 1705672800000, 'n': 62207}"
SPY,"{'v': 12052047.0, 'vw': 477.6061, 'o': 477.91, 'c': 478.2803, 'h': 478.56, 'l': 476.9901, 't': 1705676400000, 'n': 96726}"
SPY,"{'v': 16850607.0, 'vw': 478.4253, 'o': 478.3, 'c': 478.87, 'h': 479.28, 'l': 478.01, 't': 1705680000000, 'n': 71605}"
SPY,"{'v': 9741418.0, 'vw': 478.975, 'o': 478.88, 'c': 480.195, 'h': 480.2, 'l': 478.28, 't': 1705683600000, 'n': 73569}"
SPY,"{'v': 11995358.0, 'vw': 480.4512, 'o': 480.2, 'c': 481.6694, 'h': 481.71, 'l': 479.73, 't': 1705687200000, 'n': 77075}"
SPY,"{'v': 13242637.0, 'vw': 481.5472, 'o': 481.67, 'c': 482.21, 'h': 482.72, 'l': 481.33, 't': 1705690800000, 'n': 91841}"
SPY,"{'v': 20896301.0, 'vw': 481.053, 'o': 482.21, 'c': 482.42, 'h': 482.55, 'l': 476.5374, 't': 1705694400000, 'n': 117890}"
SPY,"{'v': 12941212.0, 'vw': 482.1936, 'o': 482.39, 'c': 482.38, 'h': 482.75, 'l': 478.4765, 't': 1705698000000, 'n': 6848}"
SPY,"{'v': 107090, 'vw': 482.4023, 'o': 482.43, 'c': 482.37, 'h': 482.5, 'l': 482.31, 't': 1705701600000, 'n': 1414}"
SPY,"{'v': 265100, 'vw': 482.4436, 'o': 482.37, 'c': 482.48, 'h': 482.52, 'l': 482.36, 't': 1705705200000, 'n': 609}"
SPY,"{'v': 50444, 'vw': 482.5353, 'o': 482.48, 'c': 482.64, 'h': 482.65, 'l': 482.46, 't': 1705708800000, 'n': 638}"
